type,by,post_id,post_link,post_message,細分類,分類,大分,英文小標,picture,full_picture,link,link_domain,post_published,post_published_unix,post_published_sql,likes_count_fb,comments_count_fb,reactions_count_fb,shares_count_fb,engagement_fb,comments_retrieved,comments_base,comments_replies,comment_likes_count,rea_NONE,rea_LIKE,rea_LOVE,rea_WOW,rea_HAHA,rea_SAD,rea_ANGRY,rea_THANKFUL,post_publ,year,月,日,1正評,negative,3中立,2+3,是否有負評
photo,post_page_157215971120682,157215971120682_823473554494917,https://www.facebook.com/157215971120682/posts/823473554494917,??2017臺北世大運競賽門票抽獎活動 【留言送好禮】活動～第二週～開跑！  競賽門票抽獎活動繼續熱身！ 活動將持續至 8 月 27 日止，還有5週，  只要在每週指定po文完成下面活動說明3步驟，就有機會得獎！  每週一抽出前一星期參加活動的150位幸運朋友～快來留言參加！  ??上一週留言送好禮活動中獎名單， 請見競賽門票抽獎活動專頁：https://goo.gl/YmpZYL  ★活動說明： 1. 加入「競賽門票抽獎活動」活動頁面 https://goo.gl/k43yin  2. 在此篇貼文留言 #購買世大運競賽門票 #一起來為世大運選手加油 即可參加!!  3. 活動期間：本篇留言截止至7 月 30 日 23:59 止  ★得獎公佈日期： 7 月 31 日中午 12 時前  ★贈獎人數：150 位幸運朋友  ★活動贈品(隨機出貨)：世大運雙層玻璃隨行杯、超萌熊讚絨毛玩偶或世大運2in1掛牌行李束帶  快來訂閱活動頁面、留言抽好禮！  更重要的是，購票進場為選手們加油打氣喔！  ★【競賽門票抽獎活動】 ?? 世大運競賽門票抽獎活動網站：http://luckydraw.2017.taipei  ?? 競賽門票預售優惠至 7 月 31 日，快來購票， 看比賽抽大獎：https://tickets.2017.taipei,抽獎,抽獎,C,C,https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/20245807_823473554494917_4162382892663220641_n.jpg?oh=fb0160cc4a34be7be95885b8050c05c1&oe=5A3370F1,https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/20245807_823473554494917_4162382892663220641_n.jpg?oh=cec7db9bf1e5098f2a3ac7b0bd910269&oe=59FDD50E,https://www.facebook.com/taipei2017/photos/a.157858541056425.1073741828.157215971120682/823473554494917/?type=3,facebook.com,2017-07-24T04:13:07+0000,1500869587,2017/7/24 06:13,2150,2499,2173,696,5368,2479,2289,190,268,0,2132,17,2,4,0,0,0,2017/7/24,2017,7,24,1,0,0,0,0
photo,post_page_157215971120682,157215971120682_821821984660074,https://www.facebook.com/157215971120682/posts/821821984660074,??風靡國際的世大運彩繪列車，你還沒來搭乘互動嗎？??  即日起至 7 月 26 日止，只要完成下面活動說明 2 步驟， 就有機會獲得世大運精美獎品！快來留言參加！  活動說明： 1.在此篇貼文留言 #超狂世大運彩繪列車 #一起來為世大運加油 2. 貼上你在世大運彩繪列車與場景互動的照片  ?? 活動期間：本篇留言截止至 7 月 26 日 23:59 止 ?? 贈獎人數：30 位幸運朋友 ?? 活動贈品：熊讚娃娃 10 名及熊讚毛巾 20 名  ?? 松山新店線彩繪列車發車時間 https://goo.gl/GdSDYw ?? 快來安排觀賽日程：https://goo.gl/BeWhh7 ?? 購票進場熱血應援！http://tickets.2017.taipei  ※主辦單位保有修改、變更或暫停本活動之權利,抽獎,抽獎,C,C,https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/20258433_821821984660074_5140438300864049285_n.jpg?oh=ac2ded7af492a5bb78c6ab744f1f7b5a&oe=59FB35BA,https://scontent.xx.fbcdn.net/v/t1.0-0/p180x540/20258433_821821984660074_5140438300864049285_n.jpg?oh=24672ace7696a505135745dfa4a46c9e&oe=5A395E7B,https://www.facebook.com/taipei2017/photos/a.157858541056425.1073741828.157215971120682/821821984660074/?type=3,facebook.com,2017-07-21T08:29:29+0000,1500625769,2017/7/21 10:29,751,334,806,94,1234,299,199,100,336,0,746,27,5,22,1,0,0,2017/7/21,2017,7,21,3,0,0,0,0
photo,post_page_157215971120682,157215971120682_819591548216451,https://www.facebook.com/157215971120682/posts/819591548216451,?? 2017臺北世大運競賽門票抽獎活動  【留言送好禮】活動～第一週～今日開跑 ??  2017臺北世大運競賽門票抽獎活動熱身開始！ 即日起至 8 月 27 日止，連續 6 週， 只要完成下面活動說明3步驟，就有機會得獎！ 每週一抽出前一星期參加活動的150位幸運朋友 快來留言參加！  ★活動說明： 1. 加入「競賽門票抽獎活動」活動頁面 https://goo.gl/k43yin 2. 在此篇貼文留言 #購買世大運競賽門票 #一起來為世大運選手加油 即可參加!! 3. 活動期間：本篇留言截止至7 月 23 日 23:59 止 ★得獎公佈日期： 7 月 24 日中午 12 時前 ★贈獎人數：150 位幸運朋友 ★活動贈品：世大運雙層玻璃隨行杯、超萌熊讚絨毛玩偶及世大運2in1掛牌行李束帶  快來訂閱活動頁面、留言抽好禮！ 更重要的是，購票進場為選手們加油打氣喔！  ★【競賽門票抽獎活動】活動訊息詳見 世大運競賽門票抽獎活動網站：https://luckydraw.2017.taipei 看比賽也能抽大獎，快來購票：https://tickets.2017.taipei,抽獎,抽獎,C,C,https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/20106571_819591548216451_6669360297170587250_n.jpg?oh=b53a6940ce4250f3286a4eee28422b3c&oe=59EAC00D,https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/20106571_819591548216451_6669360297170587250_n.jpg?oh=8c12692fcdfbb374933186f45a9f00c5&oe=5A34C6F2,https://www.facebook.com/taipei2017/photos/a.157858541056425.1073741828.157215971120682/819591548216451/?type=3,facebook.com,2017-07-17T12:14:54+0000,1500293694,2017/7/17 14:14,1428,1287,1463,289,3039,1268,1188,80,127,0,1412,32,1,2,0,0,0,2017/7/17,2017,7,17,0,0,0,0,0
photo,post_page_157215971120682,157215971120682_812041688971437,https://www.facebook.com/157215971120682/posts/812041688971437,【發現世大運得獎名單公布】 照片最多讚 恭喜Lydia SC、孫霞 、陳俐安 你們的照片獲得前三多個讚 請再私訊姓名地址電話給粉絲團管理員喔!,抽獎,抽獎,C,C,https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/18425129_781511295357810_3034459009536859114_n.jpg?oh=a21d74e7ffc803fc3203005e0fc98800&oe=59FAD6DC,https://scontent.xx.fbcdn.net/v/t1.0-0/p180x540/18425129_781511295357810_3034459009536859114_n.jpg?oh=ea24a5a7c12b20eba86a0b1d4df196cf&oe=5A37411D,https://www.facebook.com/taipei2017/photos/a.157858541056425.1073741828.157215971120682/781511295357810/?type=3,facebook.com,2017-07-05T03:44:00+0000,1499226240,2017/7/5 05:44,229,10,235,0,245,4,3,1,7,0,229,5,0,0,1,0,0,2017/7/5,2017,7,5,345,1,8,9,1
video,post_page_157215971120682,157215971120682_795691680606438,https://www.facebook.com/157215971120682/posts/795691680606438,??Taipei in Motion 答案就在影片中??  ??活動解答·中獎名單??  ??正確答案：4、2、4、1、1  全部答對的前三名為： 1. Johnson Chang 2. 李若瑜 3. 蔚蔚余 恭喜您們??  ??請於6月9日12:00前將您的姓名地址電話私訊粉絲團 以便獎品寄發作業喔!!!,抽獎,抽獎,C,C,https://scontent.xx.fbcdn.net/v/t15.0-10/s130x130/18718826_789480531227553_4623443100558163968_n.jpg?oh=d42e5689fa1adfbde2e2074e968ea15c&oe=59FDC546,https://scontent.xx.fbcdn.net/v/t15.0-10/s720x720/18718826_789480531227553_4623443100558163968_n.jpg?oh=20d2c66e97495f78cffce994d1cfbda4&oe=59ECC0FC,https://www.facebook.com/taipei2017/videos/789474204561519/,facebook.com,2017-06-04T16:00:00+0000,1496592000,2017/6/4 18:00,225,6,233,0,239,2,1,1,0,0,224,7,1,0,0,0,0,2017/6/4,2017,6,4,2,0,0,0,0
video,post_page_157215971120682,157215971120682_792475817594691,https://www.facebook.com/157215971120682/posts/792475817594691,??Taipei in Motion 答案就在影片中??   考考你，影片當中的小細節~ 全部答對的前三名，可獲得臺北世大運專屬隨身碟！  ??Q1 影片中出現的臺北市景點，請問是哪個門?            1.東門 2.西門 3.南門 4.北門 ??Q2 影片中出現的網球場，一共有幾面?           1.四面  2.三面  3.兩面  4.一面  ??Q3 影片中射箭選手射中幾分?            1.七分  2.八分  3.九分  4.十分 ??Q4 影片中擲筊結果是聖杯還是笑杯?           1.聖杯  2.笑杯 ??Q5 影片中沒有出現哪個運動項目?           1.空手道  2.柔道  3.跆拳道  4.撞球  ??答案範例：「1、2、3、1、2」 快點留言告訴我們你們發現了什麼??  ?即日起至6/3(六) 中午12:00止 ?正確答案及得獎名單將於6/5(一) 下午5:00公布 ?以第一次答案為主，編輯後不算喔! ?要留在此則貼文才算數，不要跑錯囉!  #2017臺北世大運 #TaipeiInMotion  ※主辦單位保有活動變更?解釋之權利,抽獎,抽獎,C,C,https://scontent.xx.fbcdn.net/v/t15.0-10/s130x130/18718826_789480531227553_4623443100558163968_n.jpg?oh=d42e5689fa1adfbde2e2074e968ea15c&oe=59FDC546,https://scontent.xx.fbcdn.net/v/t15.0-10/s720x720/18718826_789480531227553_4623443100558163968_n.jpg?oh=20d2c66e97495f78cffce994d1cfbda4&oe=59ECC0FC,https://www.facebook.com/taipei2017/videos/789474204561519/,facebook.com,2017-05-31T07:45:10+0000,1496216710,2017/5/31 09:45,933,771,953,0,1724,767,760,7,13,0,928,14,4,2,0,0,0,2017/5/31,2017,5,31,10,1,0,1,1
photo,post_page_157215971120682,157215971120682_781035735405366,https://www.facebook.com/157215971120682/posts/781035735405366,??我的神預測-中獎名單??  正確答案106年全大運郭婞淳決賽舉起總和 ??為231公斤??  前五位預測正確者名單出爐了! 你們真的好準啊!!  ??請得獎者於5/17(三)中午12:00前 訊息回覆粉絲團確認相關聯絡資訊  ??關於郭婞淳的故事→https://goo.gl/gnlbUA ??點連結給你更多世大運??https://goo.gl/g9foIe  備註：答案經編輯後不列入得獎名單,抽獎,抽獎,C,C,https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/18403535_781035735405366_8910436313785023003_n.jpg?oh=f9368001098619aa24073b7214286c7c&oe=5A2D2731,https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/18403535_781035735405366_8910436313785023003_n.jpg?oh=7163bfb7791c0778a4348f2707674e36&oe=59F17DCE,https://www.facebook.com/taipei2017/photos/a.157858541056425.1073741828.157215971120682/781035735405366/?type=3,facebook.com,2017-05-10T10:59:18+0000,1494413958,2017/5/10 12:59,250,0,255,1,256,0,0,0,0,0,250,1,2,1,0,0,1,2017/5/10,2017,5,10,261,0,3,3,0
