type,by,post_id,post_link,post_message,細分類,分類,大分,英文小標,picture,full_picture,link,link_domain,post_published,post_published_unix,post_published_sql,likes_count_fb,comments_count_fb,reactions_count_fb,shares_count_fb,engagement_fb,comments_retrieved,comments_base,comments_replies,comment_likes_count,rea_NONE,rea_LIKE,rea_LOVE,rea_WOW,rea_HAHA,rea_SAD,rea_ANGRY,rea_THANKFUL,post_publ,年,月,日,1正評,2負,3中立,2+3,是否有負評,是否有正評
video,post_page_157215971120682,157215971120682_802426376599635,https://www.facebook.com/157215971120682/posts/802426376599635,??世大運網球測試賽 一起體驗網球魅力??  2017台塑盃國際網球錦標賽暨世大運網球測試賽今天進入金牌戰?????? 最後由美國選手Daniel NGUYEN拿下冠軍?????? 臺北網球中心是世大運網球比賽的場館，接下來到6/25仍持續有賽事進行  ??更多世大運網球測試賽 https://goo.gl/jy2YTS ??????歡迎大家一起進場體驗 一起為選手加油??????  ?? 2017臺北世大運網球賽程 https://goo.gl/o1vSxL ??? 8月19日到30日需要您進場加油！http://tickets.2017.taipei,網球,運動,H,Tennis,https://scontent.xx.fbcdn.net/v/t15.0-10/s130x130/19305455_802433079932298_1238944378081247232_n.jpg?oh=c08b3c013ed04155989416096f3661b4&oe=59F8F040,https://scontent.xx.fbcdn.net/v/t15.0-10/s720x720/19305455_802433079932298_1238944378081247232_n.jpg?oh=5fcb689715d6540b1bae313165c7b440&oe=59F43DFA,https://www.facebook.com/taipei2017/videos/802426376599635/,facebook.com,2017-06-18T14:38:53+0000,1497796733,2017/6/18 16:38,458,8,466,19,493,3,2,1,8,0,458,5,2,0,1,0,0,2017/6/18,2017,6,18,1,0,0,0,0,1
video,post_page_157215971120682,157215971120682_801810713327868,https://www.facebook.com/157215971120682/posts/801810713327868,??一起世大運 60倒數 全民一起來加油??  距離臺北世大運開幕進入最後倒數階段啦！ 今天有多組頂尖啦啦團隊一起來為選手們加油?? 另外也邀請多位歷年世大運台灣之光給選手鼓勵?????? 讓我們一起捍衛我們的主場吧！??????  ??想知道更多頂尖選手的經驗談嗎？https://goo.gl/uk9m6W ??? 快點進場幫選手們加油喔！http://tickets.2017.taipei ?? 來安排您的觀賽日程吧！https://goo.gl/BeWhh7  #2017臺北世大運 #中華隊加油 #倒數63 #誰會拿下中華隊世大運第一面金牌,倒數,倒數,F,F,https://scontent.xx.fbcdn.net/v/t15.0-10/s130x130/19285261_801812323327707_6441888573867163648_n.jpg?oh=946c8e2450048636c505d332034aa8a0&oe=59F59CD1,https://scontent.xx.fbcdn.net/v/t15.0-10/s720x720/19285261_801812323327707_6441888573867163648_n.jpg?oh=25b48f149b3bb9e6f1e43286bffc3926&oe=59EF146B,https://www.facebook.com/taipei2017/videos/801810713327868/,facebook.com,2017-06-17T11:50:35+0000,1497700235,2017/6/17 13:50,820,23,843,62,928,23,11,12,19,0,820,17,2,0,1,0,0,2017/6/17,2017,6,17,39,1,2,3,1,0
video,post_page_157215971120682,157215971120682_801186573390282,https://www.facebook.com/157215971120682/posts/801186573390282,??捍衛主場  非你不可?? ??這麼多人挺世大運，一定要進場看比賽，一起幫中華隊加油!!??  ??? 2017臺北世大運購票網站 http://tickets.2017.taipei ?? 超商機臺：7-ELEVEN ibon、萊爾富Life-ET、OK超商OK．go ?? 觀賽日程：https://goo.gl/BeWhh7  #2017世大運 #中華隊加油,售票,售票,K,K,https://scontent.xx.fbcdn.net/v/t15.0-10/s130x130/19291854_801187136723559_7647285086953406464_n.jpg?oh=6ea83ead5d4f262fa3b260bd29b9e58b&oe=5A308332,https://scontent.xx.fbcdn.net/v/t15.0-10/s720x720/19291854_801187136723559_7647285086953406464_n.jpg?oh=aa7bb83e1ba923423f31c3973c0bcd54&oe=59F71C88,https://www.facebook.com/taipei2017/videos/801186573390282/,facebook.com,2017-06-17T05:14:00+0000,1497676440,2017/6/17 07:14,1314,21,1388,134,1543,20,17,3,17,0,1311,64,1,0,0,0,0,2017/6/17,2017,6,17,0,0,0,0,0,1
link,post_page_157215971120682,157215971120682_801087320066874,https://www.facebook.com/157215971120682/posts/801087320066874,運動粉絲們照過來?? 觀賽需士氣??玩樂需元氣??  精挑細選遊玩路線?? 讓您好吃好玩?  Jump in for Taipei  城市觀光導覽官網：www.travels.2017.taipei  #恭喜臺北上榜全球前20大熱門城市?? #2017臺北世大運 #Taipei2017,其他,一般推廣,B,B,https://scontent.xx.fbcdn.net/v/t39.2147-6/c52.0.130.130/p130x130/18928592_801079763400963_148847035150237696_n.jpg?oh=d3434c913d7bde87a34a655442041076&oe=59F5F853,https://scontent.xx.fbcdn.net/v/t39.2147-6/18928592_801079763400963_148847035150237696_n.jpg?oh=c966f878eb81c647adf1d09520606776&oe=5A2B5BB0,http://www.travels.2017.taipei/,travels.2017.taipei,2017-06-17T02:44:00+0000,1497667440,2017/6/17 04:44,539,5,553,32,590,5,4,1,1,0,538,8,3,1,0,0,0,2017/6/17,2017,6,17,7,0,0,0,0,1
video,post_page_157215971120682,157215971120682_800535943455345,https://www.facebook.com/157215971120682/posts/800535943455345,??世大運有問必答-體操選手不掉槓的秘密??  ??旋轉 跳躍 我不停歇?? ??你有想過為什麼體操選手在高低槓翻來翻去 ??旋轉720度手都仍然牢牢抓在槓上呢? ??因為他們使用了這個秘密武器 ??讓臺師大競技體操選手麥劉湘涵告訴你??  2017臺北世大運競技體操每日賽程 ??https://goo.gl/HufbY7 快點進場幫選手們加油吧 ??https://goo.gl/bOLVn2  #世大運有問必答,競技體操,運動,H, Artistic Gymnastics,https://scontent.xx.fbcdn.net/v/t15.0-10/s130x130/19206034_800537053455234_8149128504840028160_n.jpg?oh=a5c471cf6d2530dbf0d7fc16fcd93143&oe=5A0220C5,https://scontent.xx.fbcdn.net/v/t15.0-10/s720x720/19206034_800537053455234_8149128504840028160_n.jpg?oh=543c4a493f75e23498e44dd2875e790e&oe=5A2EDC7F,https://www.facebook.com/taipei2017/videos/800535943455345/,facebook.com,2017-06-16T05:27:56+0000,1497590876,2017/6/16 07:27,955,19,990,43,1052,18,11,7,4,0,955,28,2,4,0,0,0,2017/6/16,2017,6,16,1,0,0,0,0,1
video,post_page_157215971120682,157215971120682_800481466794126,https://www.facebook.com/157215971120682/posts/800481466794126,?韻律體操團隊  集結眾家好手拚奪牌??  韻律體操力與美  超吸睛不容錯過 眾家好手默契佳   全力備戰拚奪牌   ??韻律體操有個人及團隊項目 個人為環、球、棒與帶 而團隊則須包含５環、３球及２繩  這次韻律體操個人賽，有詹庭甄及宋語涵 而韻律體操團隊中， 包括曾旅日的古妮臻、龔芸、楊千玫、王心伶、徐紫綺及陳沛安???? 到時候記得進場欣賞最美賽事!!!  2017臺北世大運韻律體操每日賽程??https://goo.gl/f2fzeQ 快點進場為選手加油喔 ?? https://goo.gl/gxbMEb  國立臺灣師範大學 National Taiwan Normal University 國立體育大學 東山高中,韻律體操,運動,H,Rhythmic Gymnastics,https://scontent.xx.fbcdn.net/v/t15.0-10/s130x130/19213534_800482953460644_787522471795359744_n.jpg?oh=5d42db642622f5ebb5af9b9c77cac74b&oe=5A2DB9A5,https://scontent.xx.fbcdn.net/v/t15.0-10/s720x720/19213534_800482953460644_787522471795359744_n.jpg?oh=773eb5bcb817349b71a90c553c4a0b27&oe=59F3B7E0,https://www.facebook.com/taipei2017/videos/800481466794126/,facebook.com,2017-06-15T07:26:58+0000,1497511618,2017/6/15 09:26,1648,40,1727,103,1870,40,26,14,19,0,1644,68,8,1,0,0,0,2017/6/15,2017,6,15,2,0,0,0,0,1
video,post_page_157215971120682,157215971120682_799190840256522,https://www.facebook.com/157215971120682/posts/799190840256522,??2017臺北世大運開閉幕典禮??  ?臺灣史上最大規模跨界演出 ??想和選手們一起參與這場盛會嗎？  ??2017臺北世大運開閉幕門票現正熱賣中 ??http://tickets.2017.taipei ??更多2017臺北世大運開閉幕典禮 ??https://goo.gl/hIhhEp,售票,售票,K,K,https://scontent.xx.fbcdn.net/v/t15.0-10/s130x130/19144992_799192770256329_6029330886044942336_n.jpg?oh=abeeb7ab47df04da374b08fbda36e167&oe=59F35169,https://scontent.xx.fbcdn.net/v/t15.0-10/s720x720/19144992_799192770256329_6029330886044942336_n.jpg?oh=e41c402164fa93e878d4731b02fc0ce0&oe=59FD56D3,https://www.facebook.com/taipei2017/videos/799190840256522/,facebook.com,2017-06-13T03:44:00+0000,1497325440,2017/6/13 05:44,2401,212,2538,520,3270,174,89,85,182,0,2397,87,33,4,0,0,0,2017/6/13,2017,6,13,74,0,0,0,0,1
photo,post_page_157215971120682,157215971120682_798580656984207,https://www.facebook.com/157215971120682/posts/798580656984207,?? 2017臺北世大運售票資訊 ?? ?? 專屬世大運粉絲小福利，貼心搶先報 ??? 6/13 (二) 中午12:00 開始販售  ?? 以下售票管道同步開賣 ??? 2017臺北世大運購票網站 http://tickets.2017.taipei ?? 超商機臺：7-ELEVEN ibon、萊爾富Life-ET、OK超商OK．go  ??準備手刀搶票囉??  ?? 快來安排觀賽日程：https://goo.gl/BeWhh7,售票,售票,K,K,https://scontent.xx.fbcdn.net/v/t1.0-0/p130x130/19029428_798580656984207_1178841616887058087_n.jpg?oh=59322760298918c0d25916bdb68679d3&oe=5A33D58F,https://scontent.xx.fbcdn.net/v/t1.0-9/p720x720/19029428_798580656984207_1178841616887058087_n.jpg?oh=d14af8e79e7ed7ba7d5088805ae03909&oe=5A01D970,https://www.facebook.com/taipei2017/photos/a.157858541056425.1073741828.157215971120682/798580656984207/?type=3,facebook.com,2017-06-12T02:04:06+0000,1497233046,2017/6/12 04:04,1927,618,1995,774,3387,608,320,288,241,0,1925,40,18,1,1,0,0,2017/6/12,2017,6,12,7,0,0,0,0,1
video,post_page_157215971120682,157215971120682_797789510396655,https://www.facebook.com/157215971120682/posts/797789510396655,3?三分鐘看世大運?  想要更了解世大運嗎？  2017臺北世大運：https://goo.gl/7fWQdO,其他,一般推廣,B,B,https://scontent.xx.fbcdn.net/v/t15.0-10/s130x130/19123602_797790893729850_4041222406268780544_n.jpg?oh=53482a81379f9374dd58289aad04e52e&oe=5A344A90,https://scontent.xx.fbcdn.net/v/t15.0-10/s720x720/19123602_797790893729850_4041222406268780544_n.jpg?oh=fdf697290a9640861a86ee8af3e420d5&oe=59FEB12A,https://www.facebook.com/taipei2017/videos/797789510396655/,facebook.com,2017-06-11T09:17:00+0000,1497172620,2017/6/11 11:17,3794,100,4071,1105,5276,95,62,33,57,0,3788,183,14,7,2,0,0,2017/6/11,2017,6,11,2,0,0,0,0,1
video,post_page_157215971120682,157215971120682_797788493730090,https://www.facebook.com/157215971120682/posts/797788493730090,??2017臺北世大運網球測試賽?? 來跟著熊讚一起了解網球!!  明天 6月11日至25日於新設的臺北市網球中心開打囉!! 快點一起先來感受賽會熱鬧氣氛吧!!  有關世大運測試賽：https://goo.gl/FBgPg9 臺北市網球中心：https://goo.gl/yZ4nU0  ※貼心小提醒：此場測試賽比照正式賽會有維安檢查喔！請大家進場前多多注意及配合，謝謝大家！ 詳情請參考安檢流程：https://goo.gl/xysBLB,網球,運動,H,Tennis,https://scontent.xx.fbcdn.net/v/t15.0-10/s130x130/19114179_797707293738210_3027952493435813888_n.jpg?oh=70bd357fb0f6a6ac9c829ea3b4c3150f&oe=5A376BA7,https://scontent.xx.fbcdn.net/v/t15.0-10/s720x720/19114179_797707293738210_3027952493435813888_n.jpg?oh=2490ea0879d1552dc764e5923cd03f1c&oe=59FB8F1D,https://www.facebook.com/taipei2017/videos/797788493730090/,facebook.com,2017-06-10T10:44:08+0000,1497091448,2017/6/10 12:44,787,32,811,90,933,31,18,13,18,0,786,14,3,5,0,0,0,2017/6/10,2017,6,10,766,0,1,1,0,1
